param,trait,r_zero,r_partial,p_zero,p_partial,change,abs_change
sigma,Openness,0.012521076599840532,-0.06466754684125645,0.8330187305813256,0.28260296757431413,-0.07718862344109698,0.052146470241415915
alpha_minus,Agreeableness,0.02291286545518412,0.06006689529422319,0.69961118434541,0.3183258824309405,0.037154029839039066,0.037154029839039066
alpha_minus,Neuroticism,0.02719787334464035,-0.06335186956816131,0.6463524751454268,0.2916569577768981,-0.09054974291280166,0.036153996223520966
alpha_plus,Openness,-0.015906025492318798,-0.05065781746012781,0.7888269481107079,0.4001411018676577,-0.03475179196780902,0.03475179196780902
omega_0,Conscientiousness,0.09246535789708918,0.11399722965460653,0.11805815463498158,0.05719933406504579,0.02153187175751735,0.02153187175751735
sigma,Conscientiousness,-0.06838095599218762,-0.08975099744148533,0.24819554688298504,0.13480322687956553,-0.021370041449297716,0.021370041449297716
sigma,Agreeableness,-0.02039225348630556,-0.03938125559097978,0.7313053091056306,0.5131685454872462,-0.018989002104674222,0.018989002104674222
alpha_plus,Conscientiousness,0.15951661442177079,0.17714651112882873,0.006770017679121102,0.002986116653982679,0.017629896707057946,0.017629896707057946
rho_0,Extraversion,-0.023563431250308013,-0.03585074672138345,0.690996637343414,0.5509555873231217,-0.012287315471075436,0.012287315471075436
rho_0,Conscientiousness,-0.09045405755370502,-0.09966632171909358,0.12630486939721094,0.09662894022696734,-0.009212264165388562,0.009212264165388562
alpha_minus,Extraversion,-0.016971287815565558,0.02577161082990792,0.7746654189365954,0.6682075398201219,0.04274289864547348,0.008800323014342363
alpha_minus,Conscientiousness,0.020098465569410737,0.018267224681888742,0.7345811780149798,0.7612968042913386,-0.0018312408875219947,-0.0018312408875219947
alpha_plus,Agreeableness,0.13250965799020356,0.12884283670591828,0.02502486131042402,0.03175201047592407,-0.0036668212842852765,-0.0036668212842852765
sigma,Extraversion,0.02651290355674563,-0.02249887135198331,0.654676141167122,0.708281252331571,-0.04901177490872894,-0.004014032204762319
alpha_plus,Neuroticism,-0.1459688574209391,-0.13784388537879755,0.013310582682154425,0.021272387042078667,0.008124972042141548,-0.008124972042141548
sigma,Neuroticism,-0.030785139904892244,-0.02261115561028337,0.6034954844441015,0.7068921952443084,0.008173984294608874,-0.008173984294608874
rho_0,Agreeableness,0.10435317427507733,0.09578372249677622,0.07809349677290914,0.11104720858761573,-0.00856945177830111,-0.00856945177830111
rho_0,Neuroticism,-0.036047649931891156,-0.027141815440723038,0.5430425628646115,0.6516973184638026,0.008905834491168118,-0.008905834491168118
rho_0,Openness,0.05349616068434554,0.04261813190769753,0.36738327869152804,0.47912774660286295,-0.010878028776648008,-0.010878028776648008
alpha_minus,Openness,-0.05737727284597755,0.030856186169989502,0.3336015413789604,0.6084555143182693,0.08823345901596705,-0.02652108667598805
alpha_plus,Extraversion,0.18961373770439954,0.16225485749967308,0.0012484608919234618,0.006606721215001529,-0.02735888020472646,-0.02735888020472646
omega_0,Neuroticism,-0.06369661525165901,-0.03384625688039782,0.28216334529111436,0.5734572612894776,0.02985035837126119,-0.02985035837126119
omega_0,Agreeableness,0.03298889278454667,0.0014077049925653544,0.5784837915873344,0.9813588126328364,-0.03158118779198132,-0.03158118779198132
omega_0,Extraversion,0.08055129321616232,0.03188374757596369,0.173550865573611,0.595898773886624,-0.04866754564019863,-0.04866754564019863
omega_0,Openness,0.1265935600507689,0.0548716047313813,0.032344036044325286,0.36205457767034604,-0.0717219553193876,-0.0717219553193876
