bart_param,predictor,r,p,n,abs_r
alpha_plus,NEO_E,0.18961373770439954,0.0012484608919234618,287,0.18961373770439954
explosion_rate,SSSV,0.18803237299362754,1.8513605117094658e-13,1507,0.18803237299362754
mean_pumps,SSSV,0.18732486489752995,2.2857543759523595e-13,1507,0.18732486489752995
alpha_plus,CCTncards,0.17910627249559322,2.531770763202518e-12,1506,0.17910627249559322
explosion_rate,Drec,0.17645812813230666,5.250337439773467e-12,1507,0.17645812813230666
explosion_rate,SSexp,0.17618453462725872,5.667312749035754e-12,1507,0.17618453462725872
explosion_rate,Drec_b,0.17613727987903438,5.742544426523879e-12,1507,0.17613727987903438
alpha_plus,CCTratio,0.17577543456067757,6.454475823566366e-12,1506,0.17577543456067757
mean_pumps,Drec_b,0.1738462665413615,1.083636081708602e-11,1507,0.1738462665413615
mean_pumps,Drec,0.17114475722581543,2.266387319524276e-11,1507,0.17114475722581543
alpha_minus,NUM,-0.17018701250044763,2.935701954994193e-11,1507,0.17018701250044763
explosion_rate,CCTratio,0.16830740808875622,4.929121158271033e-11,1506,0.16830740808875622
mean_pumps,SSexp,0.16812524103578436,5.0986331361809154e-11,1507,0.16812524103578436
explosion_rate,CCTncards,0.16272087796168422,2.1270053733374297e-10,1506,0.16272087796168422
explosion_rate,Dhea,0.16268039361360245,2.1199664481452986e-10,1507,0.16268039361360245
alpha_plus,NEO_C,0.15951661442177079,0.006770017679121102,287,0.15951661442177079
mean_pumps,CCTratio,0.15908022385974707,5.369533001945948e-10,1506,0.15908022385974707
alpha_plus,STAI_trait,-0.1588965256488279,0.006151050280561118,296,0.1588965256488279
mean_pumps,CCTncards,0.15595102821589998,1.170295448303968e-09,1506,0.15595102821589998
mean_pumps,Dhea,0.15348263326124306,2.1141627534911502e-09,1507,0.15348263326124306
mean_pumps,SOEPsoc,0.150337568717168,4.50117287722639e-09,1507,0.150337568717168
explosion_rate,SStas,0.14919483426953734,5.90058202674716e-09,1507,0.14919483426953734
explosion_rate,SOEPsoc,0.14841480831945722,7.089823028288222e-09,1507,0.14841480831945722
mean_pumps,NUM,0.14704993237947123,9.753636006581291e-09,1507,0.14704993237947123
alpha_plus,NEO_N,-0.1459688574209391,0.013310582682154425,287,0.1459688574209391
mean_pumps,SStas,0.14281679774005926,2.5749247619559292e-08,1507,0.14281679774005926
explosion_rate,Deth,0.14168812726137214,3.3198851629307695e-08,1507,0.14168812726137214
mean_pumps,Deth,0.14068405822617566,4.155032419693842e-08,1507,0.14068405822617566
alpha_minus,WMC,-0.13880662294870139,8.091051772767871e-08,1482,0.13880662294870139
explosion_rate,Dhea_b,0.13853106284300445,6.68717190257496e-08,1507,0.13853106284300445
mean_pumps,NEO_O,0.1384387235708968,0.01916801478166691,286,0.1384387235708968
alpha_plus,CCTaratio,0.1365772480683139,1.0538092977565735e-07,1504,0.1365772480683139
mean_pumps,Dsoc_b,0.13484874190909804,1.484157519307229e-07,1507,0.13484874190909804
alpha_plus,NEO_A,0.13250965799020356,0.02502486131042402,286,0.13250965799020356
mean_pumps,Dhea_b,0.13201273347191564,2.7035919566691556e-07,1507,0.13201273347191564
explosion_rate,NUM,0.12912559881708502,4.91560282909036e-07,1507,0.12912559881708502
explosion_rate,Drec_r,-0.12853275903430902,5.548842427544896e-07,1507,0.12853275903430902
omega_0,NEO_O,0.1265935600507689,0.032344036044325286,286,0.1265935600507689
explosion_rate,STAI_trait,-0.12363904144399238,0.03347571116984404,296,0.12363904144399238
explosion_rate,CCTaratio,0.12348156747268649,1.5614676486942307e-06,1504,0.12348156747268649
mean_pumps,Drec_r,-0.12346501879863785,1.5294368438816311e-06,1507,0.12346501879863785
alpha_minus,SSSV,-0.1228534580657143,1.7239260506981629e-06,1507,0.1228534580657143
explosion_rate,Dsoc_b,0.12203614448651867,2.0212049076629163e-06,1507,0.12203614448651867
mean_pumps,PRI,0.12081335644617021,2.55950259251558e-06,1507,0.12081335644617021
alpha_minus,H_lot,-0.12067411620235148,2.6288752548671074e-06,1507,0.12067411620235148
mean_pumps,R_lot,0.11923664286985548,3.4588124796113595e-06,1507,0.11923664286985548
explosion_rate,NEO_E,0.11810682640106632,0.045594650674807884,287,0.11810682640106632
alpha_minus,SSTM,-0.1180009630183644,5.206726100986054e-06,1483,0.1180009630183644
explosion_rate,PRI,0.11701462385197742,5.2534394263696164e-06,1507,0.11701462385197742
alpha_minus,MUpc,-0.11668798816509775,6.396701988572529e-06,1488,0.11668798816509775
explosion_rate,Dy,0.1165349244184269,5.74387419552872e-06,1507,0.1165349244184269
alpha_minus,Dhea_r,0.11621429707309418,6.095768472753198e-06,1507,0.11621429707309418
mean_pumps,PRIw,0.11606618757245471,6.265194392735982e-06,1507,0.11606618757245471
explosion_rate,NEO_N,-0.1159765609590083,0.04966694549108158,287,0.1159765609590083
alpha_minus,Dhea,-0.11579347791138836,6.588996528827602e-06,1507,0.11579347791138836
explosion_rate,R,0.11514833587878322,7.419890283394047e-06,1507,0.11514833587878322
mean_pumps,Dhea_r,-0.11474140930971517,7.994486472260927e-06,1507,0.11474140930971517
mean_pumps,Dy,0.11402537497964599,9.110180363182473e-06,1507,0.11402537497964599
omega_0,SSexp,0.11357644291259716,9.883893687430715e-06,1507,0.11357644291259716
mean_pumps,CCTaratio,0.11286577691960675,1.1466958601472298e-05,1504,0.11286577691960675
explosion_rate,R_lot,0.1127771156699465,1.1419160024489337e-05,1507,0.1127771156699465
mean_pumps,STAI_trait,-0.11203953998362247,0.05416537121914592,296,0.11203953998362247
explosion_rate,Dhea_r,-0.11157969832330913,1.4151089181228892e-05,1507,0.11157969832330913
alpha_minus,SSpcLet,-0.11111971743810593,1.726939519324942e-05,1489,0.11111971743810593
explosion_rate,PRIw,0.11087086220140313,1.605073894070197e-05,1507,0.11087086220140313
alpha_minus,Drec_b,-0.10959917980735437,2.0082550676584144e-05,1507,0.10959917980735437
alpha_minus,Dhea_b,-0.10958888681515505,2.0118811431879767e-05,1507,0.10958888681515505
mean_pumps,NEO_N,-0.10920732577722715,0.0646682198547955,287,0.10920732577722715
explosion_rate,SSbor,0.10889793698544632,2.2700551057410806e-05,1507,0.10889793698544632
alpha_minus,Drec_r,0.10825058273124426,2.5402758061905127e-05,1507,0.10825058273124426
explosion_rate,SOEPocc,0.10727245640339039,3.0072341570310975e-05,1507,0.10727245640339039
mean_pumps,Dsoc,0.1066777616855663,3.329828256100639e-05,1507,0.1066777616855663
sigma,SSexp,0.10617805727784818,3.6260235590850934e-05,1507,0.10617805727784818
explosion_rate,dif.perc.bound,0.1061448597297261,3.80211394265428e-05,1500,0.1061448597297261
alpha_minus,CV,0.10562578343786533,3.9823995642591974e-05,1507,0.10562578343786533
explosion_rate,NEO_O,0.10560159416519371,0.07457774766147668,286,0.10560159416519371
mean_pumps,SSbor,0.10541111844206885,4.129685074360147e-05,1507,0.10541111844206885
explosion_rate,SOEP,0.10502092167877548,4.410721461996804e-05,1507,0.10502092167877548
mean_pumps,Dsoc_r,-0.10493397861825753,4.4757643653682096e-05,1507,0.10493397861825753
mean_pumps,WMC,0.10489120189785979,5.2160764241992744e-05,1482,0.10489120189785979
mean_pumps,samples,0.10483888726984425,4.547943247501649e-05,1507,0.10483888726984425
sigma,SSSV,0.10474606914381955,4.619459186750047e-05,1507,0.10474606914381955
mean_pumps,SSdis,0.10445612262148342,4.849785942439672e-05,1507,0.10445612262148342
rho_0,NEO_A,0.10435317427507733,0.07809349677290914,286,0.10435317427507733
explosion_rate,AUDIT,0.10405107337898531,5.1898151823397086e-05,1507,0.10405107337898531
alpha_minus,Drec,-0.10269457264939298,6.500391823553484e-05,1507,0.10269457264939298
mean_pumps,SOEPocc,0.10256941940980115,6.635930996885807e-05,1507,0.10256941940980115
explosion_rate,Dsoc,0.10240096601224032,6.82258609805195e-05,1507,0.10240096601224032
mean_pumps,Deth_r,-0.10239954212920288,6.824184782513132e-05,1507,0.10239954212920288
mean_pumps,Dinv_r,-0.10173396178608594,7.611519795119264e-05,1507,0.10173396178608594
alpha_minus,Deth,-0.10135279273417748,8.100283412593877e-05,1507,0.10135279273417748
sigma,SOEP,0.10092101372831402,8.689704408534492e-05,1507,0.10092101372831402
alpha_minus,SSdis,-0.09970859073539476,0.00010568697780092326,1507,0.09970859073539476
explosion_rate,Dm,0.0995367311337762,0.00010864159771197133,1507,0.0995367311337762
mean_pumps,NEO_E,0.09920563351533733,0.09345338746771296,287,0.09920563351533733
mean_pumps,Deth_b,0.09900614146364492,0.00011826237051996137,1507,0.09900614146364492
sigma,Drec,0.09863172003079336,0.00012552848260435632,1507,0.09863172003079336
alpha_minus,OSpcLet,-0.09835965835031837,0.00014382673943496863,1489,0.09835965835031837
explosion_rate,Deth_b,0.09835824896882533,0.00013109898342789956,1507,0.09835824896882533
mean_pumps,Dinv,0.09833143442282709,0.00013165753775013923,1507,0.09833143442282709
explosion_rate,Deth_r,-0.09810083105462303,0.00013655439803086943,1507,0.09810083105462303
mean_pumps,dif.perc.bound,0.09778168655081315,0.00014883592199462628,1500,0.09778168655081315
sigma,CCTratio,0.095811508911231,0.00019635554670184864,1506,0.095811508911231
mean_pumps,SOEP,0.09569268850850803,0.00019902008414056144,1507,0.09569268850850803
sigma,R_dfe,0.09502285972742076,0.00022066940535049357,1507,0.09502285972742076
alpha_minus,Deth_r,0.09478701166961497,0.00022880428759459962,1507,0.09478701166961497
mean_pumps,Dm,0.09459871097207653,0.00023550014030932954,1507,0.09459871097207653
mean_pumps,R,0.09407919452059009,0.00025493872109703394,1507,0.09407919452059009
omega_0,Drec_b,0.09319953465800541,0.00029131775438909533,1507,0.09319953465800541
explosion_rate,BIS1per,0.09251748126630295,0.00032280929085039576,1507,0.09251748126630295
omega_0,NEO_C,0.09246535789708918,0.11805815463498158,287,0.09246535789708918
mean_pumps,MUpc,0.0923744541706877,0.0003597931210669741,1488,0.0923744541706877
sigma,Dsoc_b,0.09231886065385031,0.0003325617956271369,1507,0.09231886065385031
sigma,Dhea,0.09182534189588928,0.00035799951783684834,1507,0.09182534189588928
explosion_rate,Dinv,0.09117934322618994,0.00039404800740401016,1507,0.09117934322618994
mean_pumps,AUDIT,0.09108982265708795,0.0003993027669523273,1507,0.09108982265708795
rho_0,NEO_C,-0.09045405755370502,0.12630486939721094,287,0.09045405755370502
alpha_minus,PRI,-0.09006100483922816,0.00046457595657443035,1507,0.09006100483922816
sigma,SStas,0.08999115210255577,0.00046935010441057025,1507,0.08999115210255577
mean_pumps,DAST,0.08989686835220832,0.0004758665434165538,1507,0.08989686835220832
explosion_rate,SSdis,0.0895796785196362,0.0004984133023843931,1507,0.0895796785196362
alpha_minus,PRIw,-0.08919015373737149,0.0005274628811391683,1507,0.08919015373737149
omega_0,Dsoc_b,0.0888325957159452,0.0005555086280146316,1507,0.0888325957159452
mean_pumps,H_lot,0.08874270095578546,0.0005627747844001378,1507,0.08874270095578546
explosion_rate,Dinv_r,-0.08850739412482682,0.0005822153401008185,1507,0.08850739412482682
explosion_rate,household,0.08846554856877543,0.0006109883742205411,1497,0.08846554856877543
alpha_minus,SOEPsoc,-0.08838741866200368,0.0005923661710704375,1507,0.08838741866200368
explosion_rate,samples,0.08822922979767364,0.0006060017869604366,1507,0.08822922979767364
alpha_minus,SSexp,-0.08808960012820206,0.0006182795289590643,1507,0.08808960012820206
explosion_rate,SOEPhea,0.08806651915080989,0.0006203311894535569,1507,0.08806651915080989
explosion_rate,R_sh1,0.08746170473557952,0.0006764021357307667,1507,0.08746170473557952
mean_pumps,SSpcLet,0.08741283185100486,0.0007336621533845153,1489,0.08741283185100486
mean_pumps,CCTpayoff,0.08682937475187053,0.0007430517690626639,1506,0.08682937475187053
alpha_minus,R,-0.08682608211091768,0.0007403759936452226,1507,0.08682608211091768
explosion_rate,Dsoc_r,-0.0855513684312414,0.0008859215537928791,1507,0.0855513684312414
sigma,CCTncards,0.08518322763346972,0.0009363157257895623,1506,0.08518322763346972
omega_0,Drec,0.08470423330617008,0.000996848525685217,1507,0.08470423330617008
mean_pumps,household,0.08461984516614675,0.0010485029223906517,1497,0.08461984516614675
explosion_rate,R_dfe,0.08408082266848894,0.0010865380150184075,1507,0.08408082266848894
explosion_rate,BIS1ctr,0.08376484479226312,0.0011347919141862519,1507,0.08376484479226312
omega_0,SSSV,0.08355475660095843,0.0011679623147254241,1507,0.08355475660095843
alpha_minus,Dm,-0.0834921631268665,0.0011780167856296046,1507,0.0834921631268665
explosion_rate,SOEPfin,0.083430329065102,0.00118802766700819,1507,0.083430329065102
explosion_rate,BIS2npl,0.0829585274973364,0.0012670363409160827,1507,0.0829585274973364
mean_pumps,BIS1per,0.08220768005756525,0.0014028232018078836,1507,0.08220768005756525
alpha_minus,Dsoc,-0.08146967191370402,0.0015492361166020972,1507,0.08146967191370402
alpha_minus,rt_decision,-0.08133801137621248,0.0015767888401842763,1507,0.08133801137621248
explosion_rate,CCTpayoff,0.08116595797125174,0.0016192778426685401,1506,0.08116595797125174
omega_0,NEO_E,0.08055129321616232,0.173550865573611,287,0.08055129321616232
sigma,Dy,0.07955406132146767,0.0019973019147919986,1507,0.07955406132146767
alpha_minus,Dsoc_b,-0.07945572850224249,0.0020232306049644344,1507,0.07945572850224249
mean_pumps,SOEPfin,0.07944857665027015,0.002025128411672363,1507,0.07944857665027015
omega_0,SOEPsoc,0.07939586435710363,0.0020391664979303743,1507,0.07939586435710363
alpha_minus,SSbor,-0.07922797097312383,0.0020844756682429754,1507,0.07922797097312383
alpha_plus,SSTM,-0.07870741253219052,0.002420133427063899,1483,0.07870741253219052
alpha_minus,Dgam,-0.07851904200653623,0.0022861453680499758,1507,0.07851904200653623
alpha_minus,Deth_b,-0.07840798799026738,0.0023193076093890913,1507,0.07840798799026738
alpha_minus,SOEPocc,-0.07800276121038939,0.002444081232182168,1507,0.07800276121038939
alpha_minus,CCTpayoff,-0.07799875569676042,0.0024535115917233997,1506,0.07799875569676042
explosion_rate,DAST,0.0776177291752356,0.002568292324104997,1507,0.0776177291752356
sigma,Drec_b,0.07746174683369075,0.0026202332617950986,1507,0.07746174683369075
alpha_minus,Dinv,-0.07738495429263553,0.0026461554245261016,1507,0.07738495429263553
mean_pumps,BIS1ctr,0.07710290944061973,0.00274338488890678,1507,0.07710290944061973
sigma,SSpcLet,-0.07611707835245844,0.0032930465672528935,1489,0.07611707835245844
sigma,CAREaggr,0.07529271115756876,0.0034490249726955714,1507,0.07529271115756876
alpha_minus,SStas,-0.0745637645474885,0.0037770786347763297,1507,0.0745637645474885
explosion_rate,R_sh2,0.07447257874127608,0.0038200503632567096,1507,0.07447257874127608
sigma,SOEPfin,0.07334762680094979,0.004387932599803785,1507,0.07334762680094979
rho_0,BIS1per,0.07304285104102688,0.00455441953794906,1507,0.07304285104102688
alpha_minus,R_sh2,-0.07273707620708052,0.004727176064444164,1507,0.07273707620708052
alpha_minus,CAREsex,-0.07246075019914278,0.00488836851197967,1507,0.07246075019914278
alpha_minus,BIS1per,-0.07244113361275017,0.00489999835782618,1507,0.07244113361275017
mean_pumps,SOEPrec,0.07228695125061817,0.004992280668308214,1507,0.07228695125061817
explosion_rate,SSrtOp,0.07227103123517045,0.005269666539268243,1489,0.07227103123517045
mean_pumps,R_dfe,0.07224585921108419,0.005017138905485096,1507,0.07224585921108419
mean_pumps,BIS2npl,0.07224041593357772,0.00502044013673103,1507,0.07224041593357772
mean_pumps,rt_decision,0.07205781209151815,0.0051323287164456305,1507,0.07205781209151815
alpha_minus,SOEP,-0.07147921636899812,0.005501881849341984,1507,0.07147921636899812
alpha_minus,H_dfe,0.07102320846132301,0.005809860411638232,1507,0.07102320846132301
mean_pumps,OSpcLet,0.07096661374608051,0.006151709020229034,1489,0.07096661374608051
alpha_minus,BIS2mot,-0.07070993813599824,0.006030345152529751,1507,0.07070993813599824
alpha_minus,R_lot,-0.0701338062072687,0.006455582669873658,1507,0.0701338062072687
explosion_rate,SOEPrec,0.06984210688604546,0.006680998372694303,1507,0.06984210688604546
omega_0,SOEPocc,0.06969892105984533,0.0067942134888214776,1507,0.06969892105984533
alpha_minus,dif.perc.bound,-0.06939126936620073,0.007177104358920997,1500,0.06939126936620073
mean_pumps,SOEPhea,0.06938142051237547,0.0070514228438234555,1507,0.06938142051237547
omega_0,Dsoc,0.06926211837219937,0.00715030584832316,1507,0.06926211837219937
alpha_minus,BIS1ctr,-0.06925685715614509,0.007154695071496297,1507,0.06925685715614509
explosion_rate,WMC,0.06924494980126752,0.0076609657753274555,1482,0.06924494980126752
mean_pumps,SSpcOp,0.06886183988304084,0.007857447202401616,1489,0.06886183988304084
sigma,NEO_C,-0.06838095599218762,0.24819554688298504,287,0.06838095599218762
rho_0,BIS1com,0.0681260155693704,0.008156111758205,1507,0.0681260155693704
