bart_param,predictor,r,p,n,abs_r
rho_0,STAI_trait,-0.63132763851963,0.006567353937033825,17,0.63132763851963
alpha_minus,NEO_A,0.6267568323714198,0.007093329168823486,17,0.6267568323714198
omega_0,NEO_O,0.4994815227069681,0.04121237597013732,17,0.4994815227069681
rho_0,NEO_O,0.4545422822306801,0.06679500571191752,17,0.4545422822306801
rho_0,t_diff,0.44476497157057404,0.07364002838879784,17,0.44476497157057404
rho_0,NEO_N,-0.44442101816169827,0.07388981665567773,17,0.44442101816169827
loss_aversion,NEO_E,0.4422637746258437,0.07547062094822941,17,0.4422637746258437
rho_0,NEO_E,0.3498871988474612,0.1685983113369636,17,0.3498871988474612
beta,rt_decision,0.34984986695226356,0.0003597711020940228,100,0.34984986695226356
omega_0,t_diff,0.3413051884697713,0.18000856190931883,17,0.3413051884697713
beta,NEO_A,-0.32887361706930907,0.1974295690539865,17,0.32887361706930907
alpha_plus,NEO_A,0.3243736445204865,0.20399859117224634,17,0.3243736445204865
loss_aversion,SOEPocc,-0.30015411146130594,0.002412635368680713,100,0.30015411146130594
alpha_plus,NEO_C,0.2890385046050885,0.26050855947340684,17,0.2890385046050885
loss_aversion,Dinv_r,0.28442908254176175,0.0041305178723400875,100,0.28442908254176175
alpha_minus,rt_decision,-0.28197443515783976,0.00448024259311262,100,0.28197443515783976
beta,rt_decision_dfe,0.27951725118354526,0.004856546898519219,100,0.27951725118354526
alpha_minus,ses_fath,0.26730828017470126,0.0077939290203687586,98,0.26730828017470126
alpha_plus,BIS1mot,-0.2644025177809987,0.007854370032770957,100,0.2644025177809987
alpha_plus,NEO_E,-0.26266439257130325,0.3084260990401674,17,0.26266439257130325
omega_0,Drec_r,-0.2622687585638492,0.008388301148855993,100,0.2622687585638492
alpha_plus,SSexp,-0.2621595106897393,0.008416478496263953,100,0.2621595106897393
alpha_plus,ses_fath,0.2620850523186106,0.009135044949257454,98,0.2620850523186106
rho_0,DAST,0.25980397253715815,0.009044633001763457,100,0.25980397253715815
beta,Hexp,0.2550927081406783,0.010425731016206896,100,0.2550927081406783
rho_0,FTND,0.25324356862156294,0.01101632793505082,100,0.25324356862156294
